#samplingWindowExample - 2024-10-25T07:21:04.6783634Z
Time,cycleCount
2024-10-25T07:21:04.7848114Z,8375
2024-10-25T07:21:04.8886676Z,8475
2024-10-25T07:21:04.9924419Z,8575
2024-10-25T07:21:05.0965096Z,8675
2024-10-25T07:21:05.2004073Z,8775
2024-10-25T07:21:05.3040797Z,8875
2024-10-25T07:21:05.4075687Z,8975
2024-10-25T07:21:05.5112205Z,9075
2024-10-25T07:21:05.6149884Z,9175
2024-10-25T07:21:05.7188103Z,9275
2024-10-25T07:21:05.8231571Z,9375
2024-10-25T07:21:05.9266087Z,9475
2024-10-25T07:21:06.0304551Z,9575
2024-10-25T07:21:06.1345559Z,9675
2024-10-25T07:21:06.2384291Z,9775
2024-10-25T07:21:06.3426307Z,9875
2024-10-25T07:21:06.4461105Z,9975
2024-10-25T07:21:06.5494293Z,10075
2024-10-25T07:21:06.6535472Z,10175
2024-10-25T07:21:06.7569941Z,10275
2024-10-25T07:21:06.8622774Z,10375
2024-10-25T07:21:06.9664767Z,10475
2024-10-25T07:21:07.0701716Z,10575
2024-10-25T07:21:07.1736206Z,10675
2024-10-25T07:21:07.2772819Z,10775
2024-10-25T07:21:07.3810871Z,10875
2024-10-25T07:21:07.4843789Z,10975
2024-10-25T07:21:07.5882537Z,11075
2024-10-25T07:21:07.6916879Z,11175
2024-10-25T07:21:07.7953175Z,11275
2024-10-25T07:21:07.8990122Z,11375
2024-10-25T07:21:08.0030621Z,11475
2024-10-25T07:21:08.1066421Z,11575
2024-10-25T07:21:08.2102983Z,11675
2024-10-25T07:21:08.3141029Z,11775
2024-10-25T07:21:08.4176826Z,11875
2024-10-25T07:21:08.5211454Z,11975
2024-10-25T07:21:08.6250989Z,12075
2024-10-25T07:21:08.7294654Z,12175
2024-10-25T07:21:08.8336958Z,12275
2024-10-25T07:21:08.9383982Z,12375
2024-10-25T07:21:09.0430972Z,12475
2024-10-25T07:21:09.1474223Z,12575
2024-10-25T07:21:09.2520646Z,12675
2024-10-25T07:21:09.3562766Z,12775
2024-10-25T07:21:09.4604443Z,12875
2024-10-25T07:21:09.5645153Z,12975
2024-10-25T07:21:09.6685346Z,13075
