Time,cycleCount
2024-10-25T05:33:37.1301745Z,32133
2024-10-25T05:33:37.2347237Z,32233
2024-10-25T05:33:37.3392629Z,32333
2024-10-25T05:33:37.4434255Z,32433
2024-10-25T05:33:37.5469534Z,32533
2024-10-25T05:33:37.6505533Z,32633
2024-10-25T05:33:37.7547449Z,32733
2024-10-25T05:33:37.8586304Z,-32703
2024-10-25T05:33:37.9633738Z,-32603
2024-10-25T05:33:38.0683561Z,-32503
2024-10-25T05:33:38.1735469Z,-32403
2024-10-25T05:33:38.2783908Z,-32303
2024-10-25T05:33:38.3821196Z,-32203
2024-10-25T05:33:38.4860886Z,-32103
2024-10-25T05:33:38.5896719Z,-32003
2024-10-25T05:33:38.6937802Z,-31903
2024-10-25T05:33:38.7981185Z,-31803
2024-10-25T05:33:38.9015976Z,-31703
2024-10-25T05:33:39.0056243Z,-31603
2024-10-25T05:33:39.1094409Z,-31503
2024-10-25T05:33:39.2135148Z,-31403
2024-10-25T05:33:39.3176720Z,-31303
2024-10-25T05:33:39.4219490Z,-31203
2024-10-25T05:33:39.5264116Z,-31103
2024-10-25T05:33:39.6300917Z,-31003
2024-10-25T05:33:39.7335506Z,-30903
2024-10-25T05:33:39.8367304Z,-30803
2024-10-25T05:33:39.9402584Z,-30703
2024-10-25T05:33:40.0445743Z,-30603
2024-10-25T05:33:40.1490538Z,-30503
2024-10-25T05:33:40.2526729Z,-30403
2024-10-25T05:33:40.3563283Z,-30303
2024-10-25T05:33:40.4606344Z,-30203
2024-10-25T05:33:40.5645601Z,-30103
2024-10-25T05:33:40.6683128Z,-30003
2024-10-25T05:33:40.7725949Z,-29903
2024-10-25T05:33:40.8769000Z,-29803
2024-10-25T05:33:40.9812117Z,-29703
2024-10-25T05:33:41.0850433Z,-29603
2024-10-25T05:33:41.1894041Z,-29503
2024-10-25T05:33:41.2936838Z,-29403
2024-10-25T05:33:41.3981187Z,-29303
2024-10-25T05:33:41.5020839Z,-29203
2024-10-25T05:33:41.6061238Z,-29103
2024-10-25T05:33:41.7101991Z,-29003
